"Submission Num","Car Rental","Gas for Car Rental","Parking and Tolls","Airfare","Ground Transportation"
11.00,$0.00,$0.00,$3.40,$0.00,$0.00
12.00,$0.00,$0.00,$0.00,$0.00,$0.00
13.00,$0.00,$0.00,$0.00,$0.00,$0.00
14.00,$0.00,$0.00,$0.00,$0.00,$0.00
15.00,$0.00,$0.00,$0.00,$0.00,$0.00
16.00,$0.00,$0.00,$0.00,$0.00,$0.00
17.00,$0.00,$0.00,$0.00,$0.00,$0.00
18.00,$0.00,$0.00,$0.00,$0.00,$0.00
19.00,$0.00,$0.00,$0.00,$0.00,$0.00
20.00,$0.00,$0.00,$0.00,$0.00,$250.00
21.00,$0.00,$0.00,$0.00,$0.00,$0.00
22.00,$0.00,$0.00,$0.00,$0.00,$0.00
23.00,$0.00,$0.00,$0.00,$0.00,$0.00
24.00,$0.00,$0.00,$0.00,$0.00,$0.00
25.00,$567.47,$66.24,$72.00,$0.00,$60.71
26.00,$0.00,$0.00,$101.80,$0.00,$0.00
27.00,$0.00,$0.00,$0.00,$0.00,$0.00
28.00,$0.00,$0.00,$0.00,$0.00,$0.00
29.00,$0.00,$0.00,$0.00,$0.00,$0.00
30.00,$0.00,$0.00,$0.00,$0.00,$0.00
31.00,$0.00,$0.00,$0.00,$0.00,$0.00
32.00,$0.00,$0.00,$0.00,$0.00,$0.00
33.00,$0.00,$0.00,$6.60,$0.00,$0.00
34.00,,,,,
35.00,$0.00,$0.00,$0.00,$0.00,$0.00
36.00,$0.00,$0.00,$0.00,$0.00,$0.00
37.00,$0.00,$0.00,$0.00,$0.00,$0.00
38.00,$0.00,$0.00,$55.73,$0.00,$0.00
39.00,$0.00,$0.00,$7.65,$0.00,$0.00
40.00,$290.25,$28.00,$60.00,$359.14,$0.00
41.00,$0.00,$0.00,$0.00,$0.00,$0.00
42.00,$0.00,$0.00,$3.00,$0.00,$0.00
43.00,$0.00,$0.00,$0.00,$0.00,$0.00
44.00,$0.00,$0.00,$34.14,$0.00,$0.00
45.00,$0.00,$0.00,$2.80,$0.00,$0.00
46.00,$0.00,$0.00,$0.00,$0.00,$0.00
47.00,$0.00,$0.00,$0.00,$0.00,$0.00
48.00,$0.00,$0.00,$0.00,$0.00,$0.00
49.00,$0.00,$0.00,$0.00,$0.00,$0.00
50.00,$0.00,$0.00,$0.00,$0.00,$0.00
51.00,$0.00,$0.00,$0.00,$0.00,$0.00
52.00,$0.00,$0.00,$0.00,$0.00,$0.00
53.00,$0.00,$0.00,$0.00,$0.00,$0.00
54.00,$0.00,$0.00,$0.00,$0.00,$0.00
55.00,$0.00,$0.00,$0.00,$0.00,$0.00
56.00,$0.00,$0.00,$25.00,$0.00,$0.00
57.00,$601.60,$38.52,$0.00,$0.00,$38.65
58.00,$380.23,$20.97,$0.00,$0.00,$0.00
60.00,$0.00,$0.00,$0.00,$0.00,$0.00
61.00,$0.00,$0.00,$0.00,$0.00,$0.00
62.00,$324.45,$67.00,$339.00,$0.00,$0.00
63.00,$0.00,$0.00,$0.00,$0.00,$0.00
64.00,$0.00,$0.00,$0.00,$0.00,$0.00
65.00,$0.00,$0.00,$0.00,$0.00,$0.00
66.00,$0.00,$0.00,$0.00,$0.00,$0.00
67.00,$0.00,$0.00,$0.00,$0.00,$0.00
68.00,$0.00,$0.00,$0.00,$0.00,$0.00
69.00,$0.00,$0.00,$0.00,$0.00,$0.00
72.00,$0.00,$0.00,$0.00,$0.00,$0.00
73.00,$0.00,$0.00,$0.00,$0.00,$0.00
74.00,$0.00,$0.00,$0.00,$0.00,$0.00
78.00,$0.00,$0.00,$0.00,$0.00,$0.00
79.00,$0.00,$0.00,$0.00,$0.00,$0.00
80.00,$182.34,$24.00,$52.00,$456.98,$0.00
81.00,$0.00,$0.00,$21.04,$0.00,$0.00
82.00,$0.00,$0.00,$0.00,$0.00,$0.00
83.00,$0.00,$0.00,$0.00,$0.00,$0.00
84.00,$0.00,$0.00,$2.75,$0.00,$0.00
85.00,$0.00,$0.00,$0.00,$0.00,$0.00
88.00,$0.00,$0.00,$0.00,$0.00,$0.00
89.00,$0.00,$0.00,$0.00,$0.00,$0.00
90.00,$0.00,$0.00,$0.00,$0.00,$0.00
93.00,$0.00,$0.00,$0.00,$0.00,$0.00
95.00,$0.00,$0.00,$0.00,$0.00,$0.00
96.00,$0.00,$0.00,$0.00,$0.00,$0.00
97.00,$0.00,$0.00,$0.00,$0.00,$0.00
98.00,$0.00,$0.00,$0.00,$0.00,$0.00
99.00,$0.00,$0.00,$0.00,$0.00,$0.00
100.00,$0.00,$0.00,$0.00,$0.00,$0.00
101.00,$0.00,$0.00,$25.20,$0.00,$0.00
104.00,$0.00,$0.00,$0.00,$0.00,$0.00
105.00,$0.00,$0.00,$0.00,$0.00,$0.00
106.00,$0.00,$0.00,$0.00,$0.00,$0.00
107.00,$0.00,$0.00,$11.62,$0.00,$0.00
108.00,$0.00,$0.00,$0.00,$0.00,$0.00
109.00,$0.00,$0.00,$0.00,$0.00,$0.00
111.00,$0.00,$0.00,$0.00,$0.00,$0.00
112.00,$0.00,$0.00,$5.60,$0.00,$0.00
114.00,$0.00,$0.00,$0.00,$0.00,$0.00
115.00,$0.00,$0.00,$0.00,$0.00,$0.00
117.00,$0.00,$0.00,$0.00,$0.00,$0.00
118.00,$0.00,$0.00,$5.80,$0.00,$0.00
119.00,$0.00,$0.00,$0.00,$0.00,$0.00
120.00,$0.00,$0.00,$0.00,$0.00,$0.00
121.00,$0.00,$0.00,$60.79,$0.00,$0.00
122.00,$0.00,$0.00,$0.00,$0.00,$0.00
123.00,$342.52,$19.34,$0.00,$0.00,$29.20
124.00,$135.85,$20.00,$23.16,$0.00,$36.99
125.00,$0.00,$0.00,$0.00,$0.00,$0.00
126.00,$0.00,$0.00,$0.00,$0.00,$0.00
127.00,$0.00,$0.00,$128.28,$0.00,$0.00
128.00,$0.00,$0.00,$0.00,$0.00,$0.00
129.00,$0.00,$0.00,$0.00,$0.00,$0.00
130.00,$0.00,$0.00,$0.00,$0.00,$0.00
131.00,$0.00,$0.00,$0.00,$0.00,$0.00
132.00,$0.00,$0.00,$0.00,$0.00,$0.00
134.00,$0.00,$0.00,$0.00,$0.00,$0.00
140.00,$0.00,$0.00,$16.02,$0.00,$0.00
141.00,$367.88,$69.05,$369.49,$0.00,$36.38
143.00,$0.00,$0.00,$8.57,$0.00,$0.00
144.00,$0.00,$0.00,$0.00,$0.00,$0.00
145.00,$0.00,$0.00,$0.00,$0.00,$0.00
146.00,$0.00,$0.00,$0.00,$0.00,$0.00
147.00,$0.00,$0.00,$0.00,$0.00,$0.00
148.00,$0.00,$0.00,$0.00,$0.00,$0.00
150.00,$0.00,$0.00,$0.00,$0.00,$0.00
151.00,$0.00,$0.00,$0.00,$0.00,$0.00
152.00,$0.00,$0.00,$0.00,$0.00,$0.00
153.00,$0.00,$0.00,$0.00,$0.00,$0.00
154.00,$0.00,$0.00,$3.90,$0.00,$0.00
155.00,$0.00,$0.00,$0.00,$0.00,$0.00
156.00,$233.35,$55.00,$60.00,$223.60,$0.00
157.00,$0.00,$0.00,$0.00,$0.00,$0.00
158.00,$0.00,$0.00,$0.00,$0.00,$0.00
159.00,$0.00,$0.00,$0.00,$0.00,$0.00
160.00,$0.00,$0.00,$0.00,$0.00,$0.00
161.00,$0.00,$0.00,$0.00,$0.00,$0.00
162.00,$0.00,$0.00,$0.00,$0.00,$0.00
163.00,$0.00,$0.00,$0.00,$0.00,$0.00
164.00,$172.62,$22.32,$25.67,$0.00,$0.00
165.00,$0.00,$0.00,$85.88,$0.00,$0.00
166.00,$0.00,$0.00,$0.00,$0.00,$0.00
167.00,$504.44,$60.14,$108.82,$291.96,$0.00
168.00,$0.00,$0.00,$45.00,$0.00,$0.00
170.00,$0.00,$0.00,$0.00,$0.00,$0.00
171.00,$0.00,$0.00,$0.00,$0.00,$0.00
172.00,$0.00,$0.00,$0.00,$0.00,$0.00
173.00,$0.00,$0.00,$0.00,$0.00,$0.00
174.00,$0.00,$0.00,$0.00,$0.00,$0.00
175.00,$0.00,$0.00,$0.00,$0.00,$0.00
176.00,$0.00,$0.00,$0.00,$0.00,$0.00
177.00,$0.00,$0.00,$0.00,$0.00,$0.00
178.00,$0.00,$0.00,$0.00,$0.00,$0.00
179.00,$0.00,$0.00,$35.35,$0.00,$0.00
180.00,$0.00,$0.00,$0.00,$0.00,$0.00
181.00,$201.63,$21.64,$0.00,$658.36,$0.00
182.00,$0.00,$0.00,$0.00,$0.00,$0.00
183.00,$0.00,$0.00,$25.20,$0.00,$0.00
184.00,$0.00,$0.00,$0.00,$0.00,$0.00
185.00,$0.00,$0.00,$0.00,$0.00,$0.00
186.00,$0.00,$0.00,$0.00,$0.00,$0.00
187.00,$0.00,$0.00,$0.00,$0.00,$0.00
188.00,$0.00,$0.00,$0.00,$0.00,$0.00
189.00,$0.00,$0.00,$0.00,$0.00,$0.00
190.00,$0.00,$0.00,$0.00,$0.00,$0.00
191.00,$388.02,$84.22,$0.00,$0.00,$0.00
192.00,$0.00,$0.00,$0.00,$0.00,$0.00
193.00,$0.00,$0.00,$0.00,$0.00,$0.00
194.00,$0.00,$0.00,$0.00,$0.00,$0.00
